url,id,completed,failed
https://www.youtube.com/watch?v=dvgZkm1xWPE,97,1,0
https://www.youtube.com/watch?v=Pkh8UtuejGw,98,1,0
https://www.youtube.com/watch?v=G5xSLbYMr-I,99,1,0
https://www.youtube.com/watch?v=VbfpW0pbvaU,100,1,0
https://www.youtube.com/watch?v=kffacxfA7G4,101,1,0
https://www.youtube.com/watch?v=qrO4YZeyl0I,102,1,0
https://www.youtube.com/watch?v=jKIEUdAMtrQ,103,1,0
https://www.youtube.com/watch?v=K17df81RL9Y,104,1,0
https://www.youtube.com/watch?v=bo_efYhYU2A,105,1,0
https://www.youtube.com/watch?v=YBHQbu5rbdQ,106,1,0
https://www.youtube.com/watch?v=OpQFFLBMEPI,107,1,0
https://www.youtube.com/watch?v=5NPBIwQyPWE,108,1,0
https://www.youtube.com/watch?v=av5JD1dfj_c,109,1,0
https://www.youtube.com/watch?v=m7Bc3pLyij0,110,1,0
https://www.youtube.com/watch?v=TUVcZfQe-Kw,111,1,0
https://www.youtube.com/watch?v=fWNaR-rxAic,112,1,0
https://www.youtube.com/watch?v=nfs8NYg7yQM,113,1,0
https://www.youtube.com/watch?v=dT2owtxkU8k,114,1,0
https://www.youtube.com/watch?v=GzU8KqOY8YA,115,1,0
https://www.youtube.com/watch?v=nSDgHBxUbVQ,116,1,0
https://www.youtube.com/watch?v=SXiSVQZLje8,117,1,0
https://www.youtube.com/watch?v=vRXZj0DzXIA,118,1,0
https://www.youtube.com/watch?v=2Abk1jAONjw,119,1,0
https://www.youtube.com/watch?v=e-ORhEE9VVg,120,1,0
https://www.youtube.com/watch?v=6GUm5g8SG4o,121,1,0
https://www.youtube.com/watch?v=o_1aF54DO60,122,1,0
https://www.youtube.com/watch?v=YQHsXMglC9A,123,1,0
https://www.youtube.com/watch?v=CfihYWRWRTQ,124,1,0
https://www.youtube.com/watch?v=jH1RNk8954Q,125,1,0
https://www.youtube.com/watch?v=3AyMjyHu1bA,126,1,0
https://www.youtube.com/watch?v=oSHzUD-uqKY,127,1,0
https://www.youtube.com/watch?v=pRfmrE0ToTo,128,1,0
https://www.youtube.com/watch?v=5vheNbQlsyU,129,1,0
https://www.youtube.com/watch?v=RY607kB2QiU,130,1,0
https://www.youtube.com/watch?v=NaFd8ucHLuo,131,1,0
https://www.youtube.com/watch?v=WFsAon_TWPQ,132,1,0
https://www.youtube.com/watch?v=Il-an3K9pjg,133,1,0
https://www.youtube.com/watch?v=PIh2xe4jnpk,134,1,0
https://www.youtube.com/watch?v=prmmCg5bKxA,135,1,0
https://www.youtube.com/watch?v=QGJuMBdaqIw,136,1,0
